"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1/2-SBSRNA4",45.6520398838297,0.373730110511822,0.266671134942228,1.40146443143457,0.16107523664162,0.275024980719229
"A1BG",61.0931017446029,0.26475924026384,0.225421052082911,1.17450982424862,0.240190879220989,0.371615648046491
"A1BG-AS1",175.665806942797,-0.0576219948404912,0.13920979429061,-0.413921988277644,0.678931240062414,0.784046787304315
"A1CF",0.237691930820274,0.920672074984147,3.53627474356636,0.260350832937726,0.794593165085316,NA
"A2LD1",89.6179845194553,0.41973256522765,0.197239690190055,2.12803297765885,0.0333343494538597,0.0774671501392514
"A2M",5.86008405881564,-1.26554342346272,0.782433783061482,-1.61744476128183,0.10578231027646,0.197630771237376
"A2ML1",2.42405528351702,2.05301930942894,1.23690980091624,1.65979710720067,0.0969552759072073,NA
"A2MP1",1.32032366583202,1.02918432491752,1.55757116886756,0.660762310890611,0.508764756488763,NA
"A4GALT",64.5409534041046,0.999937697515684,0.221508993353786,4.51420812480792,6.3553781998874e-06,4.31125842587877e-05
"A4GNT",0.191278119184428,0.92067477324108,4.08045587191822,0.225630371247777,0.821488917068378,NA
"AA06",0,NA,NA,NA,NA,NA
"AAA1",0.104027249105564,0.92067477324108,4.08045587191822,0.225630371247777,0.821488917068378,NA
"AAAS",1453.66728380191,-0.0443366022827846,0.0681563122252263,-0.650513515700084,0.515360574224116,0.65023981691472
"AACS",860.187476561105,-0.0468432399705621,0.0754654164942037,-0.620724593419027,0.534780845057054,0.667556556931605
"AACSP1",1.45963342063356,-0.49681949455183,1.45534080950947,-0.341376735473586,0.732819986736028,NA
"AADAC",0,NA,NA,NA,NA,NA
"AADACL2",0,NA,NA,NA,NA,NA
"AADACL3",0,NA,NA,NA,NA,NA
"AADACL4",0.215575506924577,1.66727652749414,3.59490442765101,0.463788832512461,0.642799045118296,NA
"AADAT",535.382637629123,-0.0449088694617039,0.0871033638782646,-0.515581344533012,0.606146842616592,0.727195439156045
"AAGAB",2613.70664090997,-0.397053104412436,0.055373406948808,-7.17046550484976,7.47431780564613e-13,1.98525172935333e-11
"AAK1",1511.47059440313,-0.0531072625232932,0.0655906785516708,-0.80967697996075,0.418125851854415,0.561684686681075
"AAMP",3156.70141024047,-0.385473101540563,0.0507390878385575,-7.59716262079973,3.02694064290114e-14,1.04535043132749e-12
"AANAT",6.94497013375795,0.753543541994847,0.686573888502565,1.09754180083712,0.272404618263628,0.408719522305168
"AARS",3690.03330258063,0.16911885498851,0.0487592015371289,3.46845004957126,0.000523469830373841,0.00217967873544652
"AARS2",2255.39148886102,-0.20679881888194,0.0523130767789855,-3.95309990570106,7.71452073968141e-05,0.00039690298041794
"AARSD1",873.807315646392,0.163548862129474,0.0729927882251803,2.2406167253802,0.0250509123779982,0.061048284901477
"AASDH",796.359854991024,0.17484401250873,0.0720364244794199,2.42716117259097,0.0152174938164037,0.0401320247805868
"AASDHPPT",3560.52307574277,-0.297665456800213,0.0541038063567708,-5.50174704599064,3.76046219355019e-08,4.11158968752627e-07
"AASS",1018.37800174182,0.360860363142454,0.0831111408842486,4.34190120967097,1.412550485853e-05,8.79009988053668e-05
"AATF",2613.47138757535,-0.294129068283145,0.0522879555340817,-5.6251782132011,1.85316554454613e-08,2.14065161544913e-07
