"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"1/2-SBSRNA4",8.77023029084571,8.81742477030835,8.87178195465947,8.84833019106014,8.89800916429296,8.79411609271687,8.74110059841088,8.86566838137511
"A1BG",8.82666810644604,8.8108858691272,9.01725277008046,8.9679569648433,8.92161806403293,8.95049277535297,8.90896291943999,8.8730456334409
"A1BG-AS1",9.30397766319613,9.37802094836658,9.36072639242828,9.31903658342181,9.30434338345487,9.37941244291868,9.34821843209356,9.31856233739926
"A1CF",8.27845326854795,8.36310467772644,8.35313480169255,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"A2LD1",9.05974585113856,9.03183577347365,9.14287203747506,9.13072431509661,9.0012070605657,9.00786679112738,9.01677309745859,8.94207651808611
"A2M",8.48525759776648,8.53211705211393,8.3840571201032,8.45129350860342,8.42162510728935,8.51004549934405,8.51422424386503,8.4676778015632
"A2ML1",8.39179252052849,8.39815127859716,8.46128297551143,8.45129350860342,8.42162510728935,8.38771803560254,8.361892058787,8.27845326854795
"A2MP1",8.27845326854795,8.27845326854795,8.3840571201032,8.35578674948867,8.45376632177695,8.27845326854795,8.39643710307291,8.37311638452787
"A4GALT",8.76593830539561,8.79074581564365,9.04210494669845,9.10716987166553,9.08446966903378,8.81629551091411,8.87594359540897,8.85061279296224
"A4GNT",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.37971180913155,8.27845326854795,8.27845326854795,8.27845326854795
"AA06",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"AAA1",8.27845326854795,8.27845326854795,8.35313480169255,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"AAAS",10.9914747876819,10.9879830550124,10.9889998190905,11.0475347089673,10.8505990726915,11.0111938486488,10.9774271798219,11.0179420202979
"AACS",10.619628403634,10.5939552605175,10.3885776346289,10.4674474206598,10.3294621695639,10.4379699990521,10.3993896150574,10.4526481851142
